name,company_name,phone,email,address,industry_type,service_type,call_type,remarks,status,schedule_date
Boenci Solutions Private,Boenci Solutions Private Limited," 9830278731
",chinmay@boenci.com,"A/4/1, Ramkrishna Upanibesh, Kolkata-700092.",Electricity,NA,Deal Cancel,Customer don’t have any requirements,Pending,1/30/2025
MULTITECH,MULTITECH SOLUTIONS,"033 24559206 /
2454 2926
9830282822",a.jhunjhunwala@multitechsolutions.c o.in,"34A, Dr. Rajendra Road, Gr. Floor, Kolkata- 700020",Electricity,NA,Incorrect number,Invalid number,Pending,1/30/2025
CORELYNX SOLUTIONS PVT.,CORELYNX SOLUTIONS PVT. LTD.,033-30523641,amit.roy@corelynx.com,"STP-II Building, 1st, Floor, Plot-53, Block-DN, Sector-V, Salt Lake, Kolkata-700091",Electricity,NA,Busy ,Busy,Pending,1/30/2025
MANAGEMENT AND COMPUTER,MANAGEMENT AND COMPUTER CONSULTANT,033-22873383,mcc@cal.vsnl.net.in,"Flat No. 2E, Maruti Building, 12, Loudon Street, Kolkata 700017.",Electricity,NA,Incorrect number,Invalid number,Pending,1/30/2025
IMPERIUM TECHNOLOGY SOLUTIONS PVT.,IMPERIUM TECHNOLOGY SOLUTIONS PVT. LTD.,"033-40070952
9434614711
9733758808
9433712924",sales@itsinindia.com admin@itsinindia.com,"1/3, Bangur Avenue,Block-D,1st Floor, Kolkata- 700055",Electricity,NA,Incorrect number,Invalid number,Pending,1/30/2025
SOVA INFOTECH PVT,SOVA INFOTECH PVT LTD,033-25702393    9830874569, sovaint@gmail.com ,"ANUJ COMPLEX,H 1/16. S.L.SARANI,KOLKATA-700059",Electricity,NA,Incorrect number,Invalid number,Pending,1/30/2025
LEARNING SPIRAL PRIVATE,LEARNING SPIRAL PRIVATE LIMITED,033-2283-1912/4012-4111/ 8334856656,info@learningspiral.co.in,"3A,AUCKLAND PLACE,5TH FLOOR,KOLKATA-700017",Electricity,NA,Busy,Busy,Pending,1/30/2025
Innova Unified Management Services Pvt.,Innova Unified Management Services Pvt. Ltd,9830135647,pmd@innovaindia.com info@innovaindia.com,"Sahara Banerjee Para, P.O. Micheal Nagar, Kolkata-700133.",Electricity,NA,Ringing,Ringing,Pending,1/30/2025
Simpro Business Solutions Pvt.,Simpro Business Solutions Pvt. Ltd.," 9740995079
",sandip@simpro.co.in,"No. 31, G.R. Complex, 1st Floor, Service Road, Domluv Layouh, Bangalore-560071.",Electricity,NA,Busy,Busy,Pending,1/30/2025
Infosolz Consultancy Services Pvt.,Infosolz Consultancy Services Pvt. Ltd.,"9932132300
",angshu@infosolz.com,"Module no. 117, SDF Building, Saltlake, Sector- V, Kolkata-700091.",Electricity,NA,Busy,Busy,Pending,1/30/2025
MEGA Calibre Enterprises Pvt.,MEGA Calibre Enterprises Pvt. Ltd.,"9088103494
",chandrani@megacalibre.com,"06/315, Action Area III, New Town Rajarhat, Kolkata-700160.",Electricity,NA,Ringing,Ringing,Pending,1/30/2025
NATIT SOLVED PVT.,NATIT SOLVED PVT. LTD.," 9874937671
",arpitabose@natitsolved.com,"WEBEL IT PARK, DH-6/6 ACTION AREA-1, NEW TOWN, RAJARHAT, KOLKATA-700156.",Electricity,NA,Deal Cancel,Customer disconnected the service.,Pending,1/30/2025
System Service,System Service Station,"  9831065498
",partha.p@systemservicestation.co.in,"789, D.H. Road,
Kolkata-700008",Electricity,NA,Ringing,Ringing,Pending,1/30/2025
NETSYS,NETSYS TECHNOLOGIES,9874233319,sales@netsysindia.in,"6/3, Madan Street, Kolkata- 700072",Electricity,NA,Deal Cancel,Customer don’t need the services.,Pending,1/30/2025
FUTURE NETWINGS SOLUTIONS PVT.,FUTURE NETWINGS SOLUTIONS PVT. LTD.,"033-27062797
9163336265",sujit.b@futurenetwings.com,"5A, Synergy Building, 5th Floor, Rajarhat, P.O. Krishnapur, Kolkata-700 102",Electricity,NA,Incorrect number,Invalid number,Pending,1/30/2025
G.S.COMPUTEL(P),G.S.COMPUTEL(P) LTD.,22428245 / 22428307 / 9830008475/9836946135,ckb@gscomputel.com,"MERLIN CHAMBER,1 CROOKED LANE,1ST FLOOR, KOLKATA-69",Electricity,NA,Cold call,details  of crm software and rate. Need to call back on 6th feb.,Pending,1/30/2025
TECHNAMIC SOLUTION,TECHNAMIC SOLUTION GROUP,9903992100,indranil.mukherjee@technamicspluti ongroup.com,"21C/1, S.K.T. Road, Behala, Kolkata-700 008.",Electricity,NA,Incorrect number,Invalid number,Pending,1/30/2025
VORTEX ELECTRONICS PVT,VORTEX ELECTRONICS PVT LTD,2460-0898 / 2460-7102,pkbag@vortexkolkata.co.in ,"102 RBC ROAD , KOLKATA-28",Electricity,NA,Incorrect number,Invalid number,Pending,1/30/2025
Reliance Jio Infocomm,Reliance Jio Infocomm Limited,44770000,jitesh.bhaskaran@ril.com sanjib1.das@ril.com,"Reliance Corporate Park, Building No 5b, 1st Floor, 5 TTC Industrial Area, Thane Be-lapur Road, Ghansoli, Nami Mumbai 400701",Electricity,NA,Incorrect number,Invalid number,Pending,1/30/2025
Prudent,Prudent Solutions," 9163320999
",anubhav@prudentsolutions.org,"34 Motijheel Avenue, Dum Dum, Kolkata-700074.",Electricity,NA,Ringing,Ringing,Pending,1/30/2025
Fortuna Implex Pvt.,Fortuna Implex Pvt. Ltd.," 9903992344 / 9830043197
",info@fortunaindia.com,"8 HO CHI MINH Sarani, 12D Harrington Mansion,
Kolkata-700071.",Electricity,NA,Deal Cancel,Customer don’t need the services.,Pending,1/30/2025
Pho-Com- Net Pvt.,Pho-Com- Net Pvt. Ltd.,9748415507,rsumita@pho-com-net.com,"529 / A H.B. Town, Barasat Road, Purbayan Sodepur,Kolkata-700110.",Electricity,NA,Deal Cancel,Customer don’t need the services.,Pending,1/30/2025
ECARTES TECHNOLOGY PVT.,ECARTES TECHNOLOGY PVT. LTD.,8510066210,info@ecartes.in,"3, Portuguese Church Street, Kolkata- 700001",Electricity,NA,Ringing,Ringing,Pending,1/30/2025
LOHIA JUTE PRESS PVT.,LOHIA JUTE PRESS PVT. LTD.,9830032801,pdagarwal1960@gmail.com,"112, Chittaranjan Avenue, Kolkata-700073",Electricity,NA,Deal Cancel,they are working on Government projects they don’t need any services.,Pending,1/30/2025
M-TECH INNOVATIONS,M-TECH INNOVATIONS LTD.,"8444068830
9822707859",smartcards@m-techindia.com,"Niranjan Pally, Noapara (N-E), Near Mantu Sangha Club, Barasat, Kolkata-700 025.",Electricity,NA,Ringing,Ringing,Pending,1/30/2025
QUICK DATA IT SERVICES PVT.,QUICK DATA IT SERVICES PVT. LTD.,"9831082056
9830269632
40072638","contact@quickdataservices.com , slaha@quickdataitservices.com, lahajobs@gmail.com","Sri Sabyasachi Laha
29/1, Nirmal Chandra Street, Flat No. - 2D, Kolkata-700012.",Electricity,NA,Incorrect number,Call ended autometically,Pending,1/30/2025
WEBFIL,WEBFIL LIMITED,"033-22428210
9477552239",buddhadeb.bhattacharya@rediffmail. com,"Yule House, 8 Rajendra Prasad Sarani, Kolkata-700 001.",Electricity,NA,Archeived,The customer don’t have requirement,Pending,1/30/2025
Madras Security Printers PVT,Madras Security Printers PVT LTD,9831146351,bhaskarghosh2011@gmail.com,"DC-55, New Karunamoyer, Salt Lake, Sector- II,
Kolkata-700091",Electricity,NA,Busy ,Busy,Pending,1/30/2025
MCT CARDS & TECHNOLOGY PVT,MCT CARDS & TECHNOLOGY PVT LTD,8584867135,nataraj.g@manipalgroup.info,"507,5th Floor,B-Block,M.A Business Centre113,Park Street,Kolkata-700016",Electricity,NA,Ringing,Ringing,Pending,1/30/2025
Smart IT Services Pvt.,Smart IT Services Pvt. Ltd.,9830482645,ranjitban@gmail.com,"2A, Chowringhee Square, Tower House, 5th Floor,
Kolkata-700069.",Electricity,NA,Ringing,Ringing,Pending,1/30/2025
Vision Coptech Integrators,Vision Coptech Integrators Ltd.,9830482645,ranjitban@gmail.com,"2A, Chowringhee Square, Tower House, 5th Floor,
Kolkata-700069.",Electricity,NA,Ringing,Ringing,Pending,1/30/2025
Godrej & Byoce MFG. Co.,Godrej & Byoce MFG. Co. Ltd.," 9051111497
",debdipta@godrej.com,"Plot No. 30, Block-GN, Sector-V, Salt Lake City, Kolkata-700091.",Electricity,NA,Incorrect number,Invalid number,Pending,1/30/2025
THAKRAL SERVICES INDIA,THAKRAL SERVICES INDIA LTD,"033-40030619
9903039653",jayanta.biswas@thakral-india.co.in,"2nd Floor, 28A Syed AMIR Ali Avenue, Kolkata- 700 017.",Electricity,NA,Incorrect number,Invalid number,Pending,1/31/2025
WEBFIL,WEBFIL LIMITED,"033-22428210
9477552239",buddhadeb.bhattacharya@rediffmail. com,"Yule House, 8 Rajendra Prasad Sarani, Kolkata-700 001.",Electricity,NA,Archeived,The customer don’t have requirement,Pending,1/31/2025
NIS FACILITY MANAGEMENT SERVICES PVT,NIS FACILITY MANAGEMENT SERVICES PVT LTD,"033-2417960
8584882576",info@nis.co.in sys.chandan@nis.co.in,"489,Madurdaha,1st Floor,Kalikapukur,Kolkata- 700107
58/99 Prince Anwarshah Road,Kolkata-700045",Electricity,NA,Incorrect number,Invalid number,Pending,1/31/2025
AGNI,AGNI INFOTECH,"033-65355129
9051223746",debabrata@agniinfotec.co.in,"76/F, Jawpur Road, Priya Apartment, Gr. Floor, Kolkata-700074",Electricity,NA,Incorrect number,Invalid number,Pending,1/31/2025
EARTHLINE INFOCOM (P),EARTHLINE INFOCOM (P) LIMITED,"9830794387
9230558900
033-23347702/
033-64564222",cl@earthlineinfo.net contact@earthlineinfo.net,"PL-174,Sector-II,Salt Lake City, Kolkata-700091 Deypara,Monirampore,Barrackpore, Kolkata-700120",Electricity,NA,Busy,Busy,Pending,1/31/2025
BELLO VISTA TECHNOLOGIES PRIVATE,BELLO VISTA TECHNOLOGIES PRIVATE LIMITED,"033-64504516
9830429202",gautam@bellovista.net,"WEBEL HRDC , Room No.- 7, P-1 Taratala Road, Kolkata-700 088.",Electricity,NA,Incorrect number,Invalid number,Pending,1/31/2025
UNIVERSAL ,UNIVERSAL  SOLUTIONS,"033-23595294
9831889693",softech@unisolindia.co.in,"CJ 145, Sector-II, Salt Lake City, Kolkata-700 091.",Electricity,NA,Incorrect number,Invalid number,Pending,1/31/2025
QUICK DATA IT SERVICES PVT.,QUICK DATA IT SERVICES PVT. LTD.,"9831082056
9830269632
40072638","contact@quickdataservices.com , slaha@quickdataitservices.com, lahajobs@gmail.com","Sri Sabyasachi Laha
29/1, Nirmal Chandra Street, Flat No. - 2D, Kolkata-700012.",Electricity,NA,Ringing,Call ended autometically,Pending,1/31/2025
EXCEL INFOCOM PVT,EXCEL INFOCOM PVT LTD,"033-23589107/08
9830269632
9433269632",slaha@excelinfo.co.in        lahajobs@gmail.com,"E405, DC Block, City Centre, Sector-I, Salt Lake,
Kolkata-700064",Electricity,NA,Incorrect number,Invalid number,Pending,1/31/2025
AN HOUR SOLUTION PVT,AN HOUR SOLUTION PVT LTD,"30127768
9903971302",anhr_solution@hotmail.com,"21E,Gorachand Road, Kolkata-700014",Electricity,NA,Incorrect number,Invalid number,Pending,1/31/2025
ULTIMATE DIGITAL SOLUTIONS PVT,ULTIMATE DIGITAL SOLUTIONS PVT LTD,9836719911/033 4000 7520,"sourabh.bhaumik@ultimatesolutions
.in","1442,EC-73,Rajdanga Main Road, Kolkata-700107",Electricity,NA,Ringing,Ringing,Pending,1/31/2025
S,S.R.SERVICES,9230517681 /9874640269,srservices2007@gmail.com,"3/119,Gandhicolony,Regent Estate,Kolkata- 700092
8/6,Naskar Para Lane,Kolkata-700031",Electricity,NA,Incorrect number,Unrecognized number,Pending,1/31/2025
Madras Security Printers PVT,Madras Security Printers PVT LTD,9831146351,bhaskarghosh2011@gmail.com,"DC-55, New Karunamoyer, Salt Lake, Sector- II,
Kolkata-700091",Electricity,NA,Ringing,Ringing,Pending,1/31/2025
IMPERIUM TECHNOLOGY SOLUTIONS PVT.,IMPERIUM TECHNOLOGY SOLUTIONS PVT. LTD.,"033-40070952
9434614711
9733758808
9433712924",sales@itsinindia.com admin@itsinindia.com,"1/3, Bangur Avenue,Block-D,1st Floor, Kolkata-700055",Electricity,NA,Incorrect number,Invalid number,Pending,1/31/2025
Silver Consultancy Services Pvt,Silver Consultancy Services Pvt Ltd," 9830059219
",prosenjitjit@silcon.co.in,"194, G.T. Road, Belur Math, Howrah-711202.",Electricity,NA,Ringing,Ringing,Pending,1/31/2025
Techhoc,Techhoc Solutions," 9831364785
",adarsh.pathak2008@gmail.com techhoc@gmail.com,"52/6, Garulia Main Road, Noapara, Shyamnagar, Narth 24 Parganas, West Bengal 743133",Electricity,NA,Deal Cancel,Customer don’t need the services.,Pending,1/31/2025
Pecon Software,Pecon Software Limited," 7044096541
",mrityunjay@pecon.co.in,"Pecon Tower, Premises No. 04-315, Plot No. DH 6/38, New Town, Rajarhat, Kolkata- 700156.",Electricity,NA,Ringing,Call ended autometically,Pending,1/31/2025
MEGA Calibre Enterprises Pvt.,MEGA Calibre Enterprises Pvt. Ltd.," 9088103494
",chandrani@megacalibre.com,"06/315, Action Area III, New Town Rajarhat, Kolkata-700160.",Electricity,NA,Ringing,Ringing,Pending,1/31/2025
ACES INFOTECH PRIVATE,ACES INFOTECH PRIVATE LIMITED,"9831394360
",aces1989@yahoo.co.in,"71B, ALIPORE ROAD, KOLKATA-700027.",Electricity,NA,Incorrect number,Wrong number,Pending,1/31/2025
Sirwolf,Sirwolf India,"  9831458459
",t73sarkar@gmail.com,"51, A.P.C. Avenue,
Kolkata- 700030.",Electricity,NA,Deal Cancel,Customer is not intrested.,Pending,1/31/2025
Genesis Advertising Pvt.,Genesis Advertising Pvt. Ltd.,"033-22875744
033-22806478
 9830254682
",arnab@genesisad.com,"2A, Dwarka, 7 Sarat Bose Road, Kolkata- 700020.",Electricity,NA,Need to call back,Provide another number (7439229619 Koushik),Pending,1/31/2025
Advertising Bureau &,Advertising Bureau & Consultants," 033-22362308
033-22373263",info@abcadvertising.in aveek@abcadvertising.in,"1B, Raja Subodh Mullick Square, Kolkata- 700013.",Electricity,NA,Incorrect number,Invalid number,Pending,1/31/2025
Good Image Pvt.,Good Image Pvt. Ltd.," 033-22239102
 8697307503
","amit.bose@goodimage.info,  kolkata@goodimage.info","91A, Chowringhee Road, Kolkata-700020.",Electricity,NA,Ringing,Ringing,Pending,1/31/2025
Wavelength,Wavelength Communications," 033-40080485
033-22817362
9007925244
",servicing@wavelengthcal.co.in,"4, Circus Avenue, Kolkata-700017.",Electricity,NA,Incorrect number,Invalid number,Pending,1/31/2025
A & M,A & M Communication,"033-24604936
033-24605431
 8584882283 / 8584882281
","amc.kol09@cnmcommunication.co m, info@anmcommunication.com","49 / 10, Flat No. 2, Ground Floor, Ballygunje Place, Kolkata-700019.",Electricity,NA,Incorrect number,Invalid number,Pending,1/31/2025
Adunique,Adunique76," 033-22650209
033-22650210
9330971898
",ad76ster@gmail.com,"P-29, CIT Road, 3rd Floor Entally, Kolkata- 700014.",Electricity,NA,Incorrect number,Invalid number,Pending,1/31/2025
Ventures Advertising Pvt.,Ventures Advertising Pvt. Ltd.,"033-24713772
 908849062
",kolkata1@vapl.net,"42 Vivekananda Nagar (Moore Avenue), Near Malancha Cinema, Tollygunge, Kolkata- 700040.",Electricity,NA,Incorrect number,Invalid number,Pending,1/31/2025
Stimulate Communication,Stimulate Communication Consultant,"9830177691
",stimulateindia@gmail.com,"9B, Thakurdas Palit Lane, Kolkata-700012.",Electricity,NA,Incorrect number,Invalid number,Pending,1/31/2025
Matrix Direct Communications Pvt.,Matrix Direct Communications Pvt. Ltd.,"033-40035078
 9830031426
","enquiry@matrixdirect.in,  ramjit@matrixdirect.in","Jubilee Park Building, 4B, Little Russel Street, Kolkata-700071.",Electricity,NA,Ringing,Ringing,Pending,1/31/2025
Expression AD. Agency Pvt.,Expression AD. Agency Pvt. Ltd.,"033-40017501 / 02
 9830800688
","expression.kol@gmail.com,  aditi.bose2010@gmail.com","10/2, Syed Salli Lane, Kolkata-700073.",Electricity,NA,Ringing,Ringing,Pending,1/31/2025
Cygnus Advertising (India) Pvt.,Cygnus Advertising (India) Pvt. Ltd.," 033-30021248
9831154106
","cygnus.kolkata@gmail.com,  priyak@cygnusadvertising.in","55B, Mirza Ghalib Street, Kolkata-700016.",Electricity,NA,Busy ,Busy,Pending,1/31/2025
Beautex Advertising,Beautex Advertising Media," 9748088312
",sumiet.chakraborty@beautexindia.c om,"Commercial Point, 5th Floor, Room No.: 504, 79, Lelin Sarani, Kolkata-700013.",Electricity,NA,Busy ,Busy,Pending,1/31/2025
Asha Audio,Asha Audio Company," 033-65259040
033-22285341
 9836191390
","ashakol@gmail.com,  ashaaudiocompany@gmail.com","Jawar Mansion, 5, Motisil Street, Suite No. 26, 1st Floor, Kolkata-700013.",Electricity,NA,Incorrect number,Unrecognized number,Pending,1/31/2025
